spawn telnet localhost 3468
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:202,time:1976002996,copy_size:5411416 
checkpoint:203,time:1863830002,copy_size:5103928 
checkpoint:204,time:2048910648,copy_size:5611288 
checkpoint:205,time:1938248315,copy_size:5308048 
checkpoint:206,time:2046421158,copy_size:5604538 
checkpoint:207,time:2027646789,copy_size:5552914 
checkpoint:208,time:1913463134,copy_size:5240074 
checkpoint:209,time:1860847665,copy_size:5095902 
checkpoint:210,time:1880347570,copy_size:5149232 
checkpoint:211,time:1962258372,copy_size:5373790 
checkpoint:212,time:2040642852,copy_size:5588542 
checkpoint:213,time:1932166858,copy_size:5291334 
checkpoint:214,time:1999431723,copy_size:5475756 
checkpoint:215,time:1861206179,copy_size:5096746 
checkpoint:216,time:1994464182,copy_size:5462156 
checkpoint:217,time:2123047311,copy_size:5814466 
checkpoint:218,time:1896699051,copy_size:5194064 
checkpoint:219,time:1860169396,copy_size:5093928 
checkpoint:220,time:1943432960,copy_size:5322098 
checkpoint:221,time:1991770008,copy_size:5454532 
checkpoint:222,time:1986419960,copy_size:5440056 
checkpoint:223,time:1896503767,copy_size:5193636 
checkpoint:224,time:2097489485,copy_size:5744458 
checkpoint:225,time:2075013903,copy_size:5682826 
checkpoint:226,time:1951233675,copy_size:5343462 
checkpoint:227,time:1864757143,copy_size:5106646 
checkpoint:228,time:1912227795,copy_size:5236568 
checkpoint:229,time:1867301612,copy_size:5113578 
checkpoint:230,time:2094944513,copy_size:5737422 
checkpoint:231,time:1912570732,copy_size:5237556 
checkpoint:232,time:2076025194,copy_size:5685514 
checkpoint:233,time:2014513290,copy_size:5516988 
checkpoint:234,time:1822995461,copy_size:4992096 
checkpoint:235,time:1912154735,copy_size:5236530 
checkpoint:236,time:2059553594,copy_size:5640580 
checkpoint:237,time:2019429794,copy_size:5530488 
checkpoint:238,time:1809036692,copy_size:4953802 
checkpoint:239,time:1904429270,copy_size:5215328 
checkpoint:240,time:1984911624,copy_size:5435900 
checkpoint:241,time:1921690312,copy_size:5262722 
checkpoint:242,time:1940048396,copy_size:5312920 
checkpoint:243,time:1987908330,copy_size:5444006 
checkpoint:244,time:1977843041,copy_size:5416576 
checkpoint:245,time:2036392618,copy_size:5576884 
checkpoint:246,time:1856579585,copy_size:5084086 
checkpoint:247,time:1983455228,copy_size:5431958 
checkpoint:248,time:2068055569,copy_size:5663700 
checkpoint:249,time:1831171344,copy_size:5014486 
checkpoint:250,time:1912401351,copy_size:5237140 
checkpoint:251,time:1906935194,copy_size:5222284 
checkpoint:252,time:2011358143,copy_size:5508300 
checkpoint:253,time:1900659020,copy_size:5205000 
checkpoint:254,time:1994744180,copy_size:5462758 
checkpoint:255,time:1962633128,copy_size:5374884 
checkpoint:256,time:1928092327,copy_size:5280102 
checkpoint:257,time:1933156528,copy_size:5294084 
checkpoint:258,time:1900212047,copy_size:5203740 
checkpoint:259,time:2001721122,copy_size:5481984 
checkpoint:260,time:2005564035,copy_size:5492642 
checkpoint:261,time:1922414801,copy_size:5264544 
checkpoint:262,time:1886341122,copy_size:5165760 
checkpoint:263,time:1964830990,copy_size:5380758 
checkpoint:264,time:2177975125,copy_size:5964898 
checkpoint:265,time:1995733450,copy_size:5465612 
checkpoint:266,time:1885628675,copy_size:5163928 
checkpoint:267,time:1990673479,copy_size:5451720 
checkpoint:268,time:2105562837,copy_size:5766572 
checkpoint:269,time:1860357704,copy_size:5094554 
checkpoint:270,time:1990671720,copy_size:5451776 
checkpoint:271,time:1911205747,copy_size:5233720 
checkpoint:272,time:1823864368,copy_size:4994454 
checkpoint:273,time:1885169342,copy_size:5162536 
checkpoint:274,time:2137765624,copy_size:5854788 
checkpoint:275,time:1863113713,copy_size:5102018 
checkpoint:276,time:1858899113,copy_size:5090508 
checkpoint:277,time:1950048585,copy_size:5340278 
checkpoint:278,time:1910627164,copy_size:5232248 
checkpoint:279,time:1931490477,copy_size:5289536 
checkpoint:280,time:2013383987,copy_size:5513834 
checkpoint:281,time:1999546910,copy_size:5475958 
checkpoint:282,time:1851408732,copy_size:5069818 
checkpoint:283,time:1944686744,copy_size:5325780 
checkpoint:284,time:1920432516,copy_size:5259152 
checkpoint:285,time:1961355945,copy_size:5371346 
checkpoint:286,time:2056168501,copy_size:5631108 
checkpoint:287,time:1997141876,copy_size:5469494 
checkpoint:288,time:2094948128,copy_size:5737422 
checkpoint:289,time:1989547383,copy_size:5448628 
checkpoint:290,time:2011448284,copy_size:5508684 
checkpoint:291,time:1970565426,copy_size:5396570 
checkpoint:292,time:1978829471,copy_size:5419288 
checkpoint:293,time:1956614311,copy_size:5358418 
checkpoint:294,time:1875981725,copy_size:5137394 
checkpoint:295,time:2029518579,copy_size:5558104 
checkpoint:296,time:1918598252,copy_size:5254208 
checkpoint:297,time:2020973221,copy_size:5534684 
checkpoint:298,time:1812901582,copy_size:4964468 
checkpoint:299,time:1999117585,copy_size:5474876 
checkpoint:300,time:1993395387,copy_size:5459250 
checkpoint:301,time:1911639239,copy_size:5235158 
checkpoint:302,time:1943319510,copy_size:5321912 
checkpoint:303,time:2052662330,copy_size:5621488 
checkpoint:304,time:1871492840,copy_size:5124934 
checkpoint:305,time:2044207135,copy_size:5598420 
checkpoint:306,time:1875419543,copy_size:5135802 
checkpoint:307,time:1977235483,copy_size:5414854 
checkpoint:308,time:2129998900,copy_size:5833592 
checkpoint:309,time:2011034140,copy_size:5507462 
checkpoint:310,time:2077341599,copy_size:5689134 
checkpoint:311,time:2009629378,copy_size:5503720 
checkpoint:312,time:1995573041,copy_size:5465008 
checkpoint:313,time:2118670143,copy_size:5802382 
checkpoint:314,time:1923967864,copy_size:5268842 
checkpoint:315,time:1950406798,copy_size:5341208 
checkpoint:316,time:1877817849,copy_size:5142390 
checkpoint:317,time:1917942717,copy_size:5252300 
checkpoint:318,time:2084334107,copy_size:5708322 
checkpoint:319,time:1869293864,copy_size:5119018 
checkpoint:320,time:1989372486,copy_size:5448206 
checkpoint:321,time:1818767384,copy_size:4980436 
checkpoint:322,time:1874239146,copy_size:5132584 
checkpoint:323,time:1866920798,copy_size:5112550 
checkpoint:324,time:1985244357,copy_size:5436802 
checkpoint:325,time:1961899936,copy_size:5372738 
checkpoint:326,time:1896796408,copy_size:5194314 
checkpoint:327,time:1991335687,copy_size:5453482 
checkpoint:328,time:2062595744,copy_size:5648756 
checkpoint:329,time:1876554414,copy_size:5138884 
checkpoint:330,time:1872230873,copy_size:5127114 
checkpoint:331,time:1867734330,copy_size:5114630 
checkpoint:332,time:2046196807,copy_size:5603772 
checkpoint:333,time:1951194312,copy_size:5343468 
checkpoint:334,time:1991941128,copy_size:5455170 
checkpoint:335,time:2024898188,copy_size:5545478 
checkpoint:336,time:1976986515,copy_size:5414146 
checkpoint:337,time:1954360378,copy_size:5352192 
checkpoint:338,time:1911903209,copy_size:5235690 
checkpoint:339,time:1917941188,copy_size:5252466 
checkpoint:340,time:1870372735,copy_size:5121986 
checkpoint:341,time:2001479696,copy_size:5481216 
checkpoint:342,time:2007604486,copy_size:5498014 
checkpoint:343,time:1860471557,copy_size:5094782 
checkpoint:344,time:2063602522,copy_size:5651560 
checkpoint:345,time:1942094068,copy_size:5318610 
checkpoint:346,time:2013775140,copy_size:5514960 
checkpoint:347,time:2013580087,copy_size:5514520 
checkpoint:348,time:1943524699,copy_size:5322550 
checkpoint:349,time:2075436768,copy_size:5683998 
checkpoint:350,time:1958905528,copy_size:5364484 
checkpoint:351,time:1941921320,copy_size:5318082 
checkpoint:352,time:1917752569,copy_size:5251890 
checkpoint:353,time:1949601465,copy_size:5339038 
checkpoint:354,time:1970254480,copy_size:5395728 
checkpoint:355,time:1767815930,copy_size:4840806 
checkpoint:356,time:1886496660,copy_size:5166158 
checkpoint:357,time:1874085771,copy_size:5132150 
checkpoint:358,time:1889953503,copy_size:5175582 
checkpoint:359,time:1810047927,copy_size:4956578 
checkpoint:360,time:1945821591,copy_size:5328748 
checkpoint:361,time:1957240468,copy_size:5360078 
checkpoint:362,time:1899926954,copy_size:5202916 
checkpoint:363,time:1928510401,copy_size:5281384 
checkpoint:364,time:1820938497,copy_size:4986564 
checkpoint:365,time:1934401408,copy_size:5297416 
checkpoint:366,time:2008824846,copy_size:5501518 
checkpoint:367,time:2101112525,copy_size:5754378 
checkpoint:368,time:1882847711,copy_size:5156032 
checkpoint:369,time:1959972684,copy_size:5367614 
checkpoint:370,time:1896625630,copy_size:5193980 
checkpoint:371,time:1943274218,copy_size:5321768 
checkpoint:372,time:1945114969,copy_size:5326762 
checkpoint:373,time:1948224828,copy_size:5335232 
checkpoint:374,time:1995929546,copy_size:5466078 
checkpoint:375,time:1916684458,copy_size:5248854 
checkpoint:376,time:1928003182,copy_size:5279994 
checkpoint:377,time:1943813185,copy_size:5323172 
checkpoint:378,time:1978808852,copy_size:5419146 
checkpoint:379,time:1971529185,copy_size:5399264 
checkpoint:380,time:2062542946,copy_size:5648666 
checkpoint:381,time:1971040738,copy_size:5397906 
checkpoint:382,time:1977232507,copy_size:5414984 
checkpoint:383,time:1869618596,copy_size:5119830 
checkpoint:384,time:1872905498,copy_size:5128912 
checkpoint:385,time:1831225386,copy_size:5014792 
checkpoint:386,time:1964487957,copy_size:5379844 
checkpoint:387,time:2074289618,copy_size:5680792 
checkpoint:388,time:1842206518,copy_size:5044676 
checkpoint:389,time:1957957426,copy_size:5362086 
checkpoint:390,time:2038939329,copy_size:5583958 
checkpoint:391,time:1857389978,copy_size:5086346 
checkpoint:392,time:2020139795,copy_size:5532570 
checkpoint:393,time:1903758753,copy_size:5213630 
checkpoint:394,time:2062020594,copy_size:5647260 
checkpoint:395,time:1942336401,copy_size:5319138 
checkpoint:396,time:1899627993,copy_size:5202052 
checkpoint:397,time:2023155098,copy_size:5540662 
checkpoint:398,time:1969696711,copy_size:5394328 
checkpoint:399,time:1900013110,copy_size:5203246 
checkpoint:400,time:2008748738,copy_size:5501184 
checkpoint:401,time:1948235281,copy_size:5335378 
checkpoint:402,time:2006979696,copy_size:5496300 
checkpoint:403,time:1935797501,copy_size:5301330 
checkpoint:404,time:1826441951,copy_size:5001426 
checkpoint:405,time:1865788504,copy_size:5109428 
checkpoint:406,time:2002210038,copy_size:5483268 
checkpoint:407,time:1912896825,copy_size:5238452 
checkpoint:408,time:2014042213,copy_size:5515732 
checkpoint:409,time:1957696951,copy_size:5361350 
checkpoint:410,time:1915426603,copy_size:5245368 
checkpoint:411,time:1869357825,copy_size:5119252 
checkpoint:412,time:2000681849,copy_size:5479034 
checkpoint:413,time:1873300510,copy_size:5129982 
checkpoint:414,time:1952598207,copy_size:5347230 
checkpoint:415,time:2035540140,copy_size:5574722 
checkpoint:416,time:1929351993,copy_size:5283576 
checkpoint:417,time:1880215740,copy_size:5148966 
checkpoint:418,time:1950478491,copy_size:5341558 
checkpoint:419,time:1968071342,copy_size:5389758 
checkpoint:420,time:2011912381,copy_size:5509770 
checkpoint:421,time:1955439158,copy_size:5355096 
checkpoint:422,time:2012964410,copy_size:5512850 
checkpoint:423,time:2065227360,copy_size:5655994 
