spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:202, page_time:17585969, size_db:1052672, actual:1049000 
checkpoint:203, page_time:4377545, size_db:266240, actual:262376 
checkpoint:204, page_time:13196436, size_db:790528, actual:786792 
checkpoint:205, page_time:4370755, size_db:266240, actual:262376 
checkpoint:206, page_time:13197101, size_db:790528, actual:786792 
checkpoint:207, page_time:13194599, size_db:790528, actual:786792 
checkpoint:208, page_time:4377554, size_db:266240, actual:262376 
checkpoint:209, page_time:17587197, size_db:1052672, actual:1049000 
checkpoint:210, page_time:17585300, size_db:1052672, actual:1049000 
checkpoint:211, page_time:4370969, size_db:266240, actual:262376 
checkpoint:212, page_time:8808692, size_db:528384, actual:524584 
checkpoint:213, page_time:4375918, size_db:266240, actual:262376 
checkpoint:214, page_time:4369970, size_db:266240, actual:262376 
checkpoint:215, page_time:8806223, size_db:528384, actual:524584 
checkpoint:216, page_time:13198603, size_db:790528, actual:786792 
checkpoint:217, page_time:8812061, size_db:528384, actual:524584 
checkpoint:218, page_time:13205046, size_db:790528, actual:786792 
checkpoint:219, page_time:4373996, size_db:266240, actual:262376 
checkpoint:220, page_time:13197432, size_db:790528, actual:786792 
checkpoint:221, page_time:8807469, size_db:528384, actual:524584 
checkpoint:222, page_time:8806909, size_db:528384, actual:524584 
checkpoint:223, page_time:13207540, size_db:790528, actual:786792 
checkpoint:224, page_time:17583700, size_db:1052672, actual:1049000 
checkpoint:225, page_time:8808580, size_db:528384, actual:524584 
checkpoint:226, page_time:4371154, size_db:266240, actual:262376 
checkpoint:227, page_time:4370233, size_db:266240, actual:262376 
checkpoint:228, page_time:13197851, size_db:790528, actual:786792 
checkpoint:229, page_time:17586633, size_db:1052672, actual:1049000 
checkpoint:230, page_time:4373606, size_db:266240, actual:262376 
checkpoint:231, page_time:13199900, size_db:790528, actual:786792 
checkpoint:232, page_time:8807442, size_db:528384, actual:524584 
checkpoint:233, page_time:4370794, size_db:266240, actual:262376 
checkpoint:234, page_time:4371687, size_db:266240, actual:262376 
checkpoint:235, page_time:13196615, size_db:790528, actual:786792 
checkpoint:236, page_time:13199335, size_db:790528, actual:786792 
checkpoint:237, page_time:4372797, size_db:266240, actual:262376 
checkpoint:238, page_time:8806212, size_db:528384, actual:524584 
checkpoint:239, page_time:13195468, size_db:790528, actual:786792 
checkpoint:240, page_time:4372794, size_db:266240, actual:262376 
checkpoint:241, page_time:13200644, size_db:790528, actual:786792 
checkpoint:242, page_time:4375777, size_db:266240, actual:262376 
checkpoint:243, page_time:4369104, size_db:266240, actual:262376 
checkpoint:244, page_time:4372948, size_db:266240, actual:262376 
checkpoint:245, page_time:4369891, size_db:266240, actual:262376 
checkpoint:246, page_time:8808071, size_db:528384, actual:524584 
checkpoint:247, page_time:4374220, size_db:266240, actual:262376 
checkpoint:248, page_time:4370244, size_db:266240, actual:262376 
checkpoint:249, page_time:4370379, size_db:266240, actual:262376 
checkpoint:250, page_time:4371567, size_db:266240, actual:262376 
checkpoint:251, page_time:17586048, size_db:1052672, actual:1049000 
checkpoint:252, page_time:4373984, size_db:266240, actual:262376 
checkpoint:253, page_time:4372722, size_db:266240, actual:262376 
checkpoint:254, page_time:4372749, size_db:266240, actual:262376 
checkpoint:255, page_time:4370859, size_db:266240, actual:262376 
checkpoint:256, page_time:8807620, size_db:528384, actual:524584 
checkpoint:257, page_time:17586572, size_db:1052672, actual:1049000 
checkpoint:258, page_time:8806206, size_db:528384, actual:524584 
checkpoint:259, page_time:13194547, size_db:790528, actual:786792 
checkpoint:260, page_time:4377564, size_db:266240, actual:262376 
checkpoint:261, page_time:4369699, size_db:266240, actual:262376 
checkpoint:262, page_time:8809452, size_db:528384, actual:524584 
checkpoint:263, page_time:17586200, size_db:1052672, actual:1049000 
checkpoint:264, page_time:13197927, size_db:790528, actual:786792 
checkpoint:265, page_time:13200987, size_db:790528, actual:786792 
checkpoint:266, page_time:4370954, size_db:266240, actual:262376 
checkpoint:267, page_time:4372450, size_db:266240, actual:262376 
checkpoint:268, page_time:8805956, size_db:528384, actual:524584 
checkpoint:269, page_time:4373530, size_db:266240, actual:262376 
checkpoint:270, page_time:4369460, size_db:266240, actual:262376 
checkpoint:271, page_time:4372744, size_db:266240, actual:262376 
checkpoint:272, page_time:4370394, size_db:266240, actual:262376 
checkpoint:273, page_time:8808070, size_db:528384, actual:524584 
checkpoint:274, page_time:17585424, size_db:1052672, actual:1049000 
checkpoint:275, page_time:4373261, size_db:266240, actual:262376 
checkpoint:276, page_time:8806102, size_db:528384, actual:524584 
checkpoint:277, page_time:17586094, size_db:1052672, actual:1049000 
checkpoint:278, page_time:4377548, size_db:266240, actual:262376 
checkpoint:279, page_time:8809338, size_db:528384, actual:524584 
checkpoint:280, page_time:13199373, size_db:790528, actual:786792 
checkpoint:281, page_time:8811132, size_db:528384, actual:524584 
