spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:225, page_time:3991047, size_db:299008
checkpoint:226, page_time:1221929, size_db:94208
checkpoint:227, page_time:2583023, size_db:200704
checkpoint:228, page_time:2177889, size_db:167936
checkpoint:229, page_time:1221931, size_db:94208
checkpoint:230, page_time:1308817, size_db:102400
checkpoint:231, page_time:3624718, size_db:274432
checkpoint:232, page_time:2390418, size_db:184320
checkpoint:233, page_time:2602807, size_db:200704
checkpoint:234, page_time:1219909, size_db:94208
checkpoint:235, page_time:3792382, size_db:286720
checkpoint:236, page_time:4433740, size_db:331776
checkpoint:237, page_time:1274946, size_db:98304
checkpoint:238, page_time:1196244, size_db:94208
checkpoint:239, page_time:3807312, size_db:286720
checkpoint:240, page_time:4651604, size_db:348160
checkpoint:241, page_time:3636469, size_db:274432
checkpoint:242, page_time:1221928, size_db:94208
checkpoint:243, page_time:1251556, size_db:98304
checkpoint:244, page_time:1313730, size_db:102400
checkpoint:245, page_time:3979238, size_db:299008
checkpoint:246, page_time:1115670, size_db:86016
checkpoint:247, page_time:2267411, size_db:176128
checkpoint:248, page_time:4877453, size_db:364544
checkpoint:249, page_time:2602797, size_db:200704
checkpoint:250, page_time:2284092, size_db:176128
checkpoint:251, page_time:1274480, size_db:98304
checkpoint:252, page_time:2376302, size_db:184320
checkpoint:253, page_time:2390434, size_db:184320
checkpoint:254, page_time:2177870, size_db:167936
checkpoint:255, page_time:4876376, size_db:364544
checkpoint:256, page_time:3418891, size_db:262144
checkpoint:257, page_time:1221928, size_db:94208
checkpoint:258, page_time:1148995, size_db:90112
checkpoint:259, page_time:1119068, size_db:90112
checkpoint:260, page_time:3224622, size_db:249856
checkpoint:261, page_time:3991051, size_db:299008
checkpoint:262, page_time:3241424, size_db:249856
checkpoint:263, page_time:1214842, size_db:94208
checkpoint:264, page_time:2163761, size_db:167936
checkpoint:265, page_time:1114432, size_db:86016
checkpoint:266, page_time:1078265, size_db:86016
checkpoint:267, page_time:3612761, size_db:274432
checkpoint:268, page_time:1274959, size_db:98304
checkpoint:269, page_time:5086877, size_db:380928
checkpoint:270, page_time:1115547, size_db:86016
checkpoint:271, page_time:3614748, size_db:274432
checkpoint:272, page_time:1167749, size_db:90112
checkpoint:273, page_time:1090724, size_db:86016
checkpoint:274, page_time:3619833, size_db:274432
checkpoint:275, page_time:1221925, size_db:94208
checkpoint:276, page_time:2482581, size_db:192512
checkpoint:277, page_time:1274960, size_db:98304
checkpoint:278, page_time:1209065, size_db:94208
checkpoint:279, page_time:2376057, size_db:184320
checkpoint:280, page_time:1219870, size_db:94208
checkpoint:281, page_time:5083207, size_db:380928
checkpoint:282, page_time:4653243, size_db:348160
checkpoint:283, page_time:1168043, size_db:90112
checkpoint:284, page_time:5081047, size_db:380928
checkpoint:285, page_time:1112449, size_db:86016
checkpoint:286, page_time:2267468, size_db:176128
checkpoint:287, page_time:4433725, size_db:331776
checkpoint:288, page_time:2390418, size_db:184320
checkpoint:289, page_time:3241434, size_db:249856
checkpoint:290, page_time:1108551, size_db:86016
checkpoint:291, page_time:1152104, size_db:90112
checkpoint:292, page_time:1090685, size_db:86016
checkpoint:293, page_time:2266516, size_db:176128
checkpoint:294, page_time:2390426, size_db:184320
checkpoint:295, page_time:2390415, size_db:184320
checkpoint:296, page_time:1115112, size_db:86016
checkpoint:297, page_time:2469968, size_db:192512
checkpoint:298, page_time:3990639, size_db:299008
checkpoint:299, page_time:3821434, size_db:286720
checkpoint:300, page_time:1328049, size_db:102400
checkpoint:301, page_time:2584311, size_db:200704
checkpoint:302, page_time:3821436, size_db:286720
checkpoint:303, page_time:2388852, size_db:184320
checkpoint:304, page_time:1274965, size_db:98304
checkpoint:305, page_time:2587582, size_db:200704
checkpoint:306, page_time:2282889, size_db:176128
checkpoint:307, page_time:3991044, size_db:299008
checkpoint:308, page_time:3636466, size_db:274432
checkpoint:309, page_time:2177862, size_db:167936
checkpoint:310, page_time:2283067, size_db:176128
checkpoint:311, page_time:1163708, size_db:90112
checkpoint:312, page_time:3397641, size_db:262144
checkpoint:313, page_time:1328066, size_db:102400
checkpoint:314, page_time:1316405, size_db:102400
checkpoint:315, page_time:2485020, size_db:192512
checkpoint:316, page_time:1221933, size_db:94208
checkpoint:317, page_time:4639078, size_db:348160
checkpoint:318, page_time:2390407, size_db:184320
