
---------- Begin Simulation Statistics ----------
simSeconds                                  72.106931                       # Number of seconds simulated (Second)
system.atomicCpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 243357158168740                       # Cumulative time (in ticks) in various power states (Tick)
system.atomicCpu.mmu.itb.rdAccesses                 0                       # TLB accesses on read requests (Count)
system.atomicCpu.mmu.itb.wrAccesses                 0                       # TLB accesses on write requests (Count)
system.atomicCpu.mmu.itb.rdMisses                   0                       # TLB misses on read requests (Count)
system.atomicCpu.mmu.itb.wrMisses                   0                       # TLB misses on write requests (Count)
system.atomicCpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 243357158168740                       # Cumulative time (in ticks) in various power states (Tick)
system.atomicCpu.power_state.pwrStateResidencyTicks::OFF 243357158168740                       # Cumulative time (in ticks) in various power states (Tick)
system.atomicCpu.thread_0.numInsts                  0                       # Number of Instructions committed (Count)
system.atomicCpu.thread_0.numOps                    0                       # Number of Ops committed (Count)
system.atomicCpu.thread_0.numMemRefs                0                       # Number of Memory References (Count)
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 243357158168740                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                                0                       # Number of cpu cycles simulated (Cycle)
system.cpu.numUsrCycles                             0                       # Number of user mode cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.committedInsts                           0                       # Number of instructions committed (Count)
system.cpu.numVMExits                               0                       # total number of KVM exits (Count)
system.cpu.numVMHalfEntries                         0                       # number of KVM entries to finalize pending operations (Count)
system.cpu.numExitSignal                            0                       # exits due to signal delivery (Count)
system.cpu.numMMIO                                  0                       # number of VM exits due to memory mapped IO (Count)
system.cpu.numCoalescedMMIO                         0                       # number of coalesced memory mapped IO requests (Count)
system.cpu.numIO                                    0                       # number of VM exits due to legacy IO (Count)
system.cpu.numHalt                                  0                       # number of VM exits due to wait for interrupt instructions (Count)
system.cpu.numInterrupts                            0                       # number of interrupts delivered (Count)
system.cpu.numHypercalls                            0                       # number of hypercalls (Count)
system.cpu.dcache.demandHits::detailed_cpu.data  23232040232                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total       23232040232                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::detailed_cpu.data  23240759762                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total      23240759762                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::detailed_cpu.data    411505381                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total       411505381                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::detailed_cpu.data    414526923                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total      414526923                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::detailed_cpu.data 2765872606419                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total 2765872606419                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::detailed_cpu.data 2765872606419                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total 2765872606419                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::detailed_cpu.data  23643545613                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total   23643545613                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::detailed_cpu.data  23655286685                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total  23655286685                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::detailed_cpu.data     0.017405                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.017405                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::detailed_cpu.data     0.017524                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.017524                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::detailed_cpu.data  6721.352221                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.demandAvgMissLatency::total  6721.352221                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::detailed_cpu.data  6672.359388                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::total  6672.359388                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks    409174716                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total         409174716                       # number of writebacks (Count)
system.cpu.dcache.demandMshrHits::detailed_cpu.data        30526                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.demandMshrHits::total         30526                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.overallMshrHits::detailed_cpu.data        30526                       # number of overall MSHR hits (Count)
system.cpu.dcache.overallMshrHits::total        30526                       # number of overall MSHR hits (Count)
system.cpu.dcache.demandMshrMisses::detailed_cpu.data    411474855                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.demandMshrMisses::total    411474855                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::detailed_cpu.data    414495723                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::total    414495723                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrUncacheable::detailed_cpu.data       279535                       # number of overall MSHR uncacheable misses (Count)
system.cpu.dcache.overallMshrUncacheable::total       279535                       # number of overall MSHR uncacheable misses (Count)
