spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:196, page_time:3656388, size_db:274432
checkpoint:197, page_time:5517196, size_db:409600
checkpoint:198, page_time:5510022, size_db:409600
checkpoint:199, page_time:3653577, size_db:274432
checkpoint:200, page_time:5510877, size_db:409600
checkpoint:201, page_time:5518406, size_db:409600
checkpoint:202, page_time:3652153, size_db:274432
checkpoint:203, page_time:3661565, size_db:274432
checkpoint:204, page_time:7358394, size_db:544768
checkpoint:205, page_time:3656974, size_db:274432
checkpoint:206, page_time:1816073, size_db:139264
checkpoint:207, page_time:3664640, size_db:274432
checkpoint:208, page_time:3659439, size_db:274432
checkpoint:209, page_time:3655847, size_db:274432
checkpoint:210, page_time:5517543, size_db:409600
checkpoint:211, page_time:1817551, size_db:139264
checkpoint:212, page_time:5512143, size_db:409600
checkpoint:213, page_time:7354835, size_db:544768
checkpoint:214, page_time:1816190, size_db:139264
checkpoint:215, page_time:3653640, size_db:274432
checkpoint:216, page_time:7353679, size_db:544768
checkpoint:217, page_time:1822557, size_db:139264
checkpoint:218, page_time:1816896, size_db:139264
checkpoint:219, page_time:1823409, size_db:139264
checkpoint:220, page_time:7355551, size_db:544768
checkpoint:221, page_time:5522732, size_db:409600
checkpoint:222, page_time:1819090, size_db:139264
checkpoint:223, page_time:3654111, size_db:274432
checkpoint:224, page_time:1814507, size_db:139264
checkpoint:225, page_time:3656466, size_db:274432
checkpoint:226, page_time:1817926, size_db:139264
checkpoint:227, page_time:1813600, size_db:139264
checkpoint:228, page_time:3662309, size_db:274432
checkpoint:229, page_time:1821401, size_db:139264
checkpoint:230, page_time:1817851, size_db:139264
checkpoint:231, page_time:5519087, size_db:409600
checkpoint:232, page_time:1816121, size_db:139264
checkpoint:233, page_time:3664575, size_db:274432
checkpoint:234, page_time:7354495, size_db:544768
checkpoint:235, page_time:1820572, size_db:139264
checkpoint:236, page_time:7356670, size_db:544768
checkpoint:237, page_time:5509144, size_db:409600
checkpoint:238, page_time:5516899, size_db:409600
checkpoint:239, page_time:5516741, size_db:409600
checkpoint:240, page_time:7353725, size_db:544768
checkpoint:241, page_time:1821503, size_db:139264
checkpoint:242, page_time:1821191, size_db:139264
checkpoint:243, page_time:1813815, size_db:139264
checkpoint:244, page_time:1816374, size_db:139264
checkpoint:245, page_time:3653351, size_db:274432
checkpoint:246, page_time:5516390, size_db:409600
checkpoint:247, page_time:3669878, size_db:274432
checkpoint:248, page_time:5519310, size_db:409600
checkpoint:249, page_time:3655526, size_db:274432
checkpoint:250, page_time:5522673, size_db:409600
checkpoint:251, page_time:1815178, size_db:139264
checkpoint:252, page_time:1815368, size_db:139264
checkpoint:253, page_time:1815529, size_db:139264
checkpoint:254, page_time:1815453, size_db:139264
checkpoint:255, page_time:3654708, size_db:274432
checkpoint:256, page_time:52262, size_db:4096
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
