spawn telnet localhost 3493
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:371, page_time:2877524, size_db:200704
checkpoint:372, page_time:2877572, size_db:200704
checkpoint:373, page_time:1266030, size_db:90112
checkpoint:374, page_time:5748240, size_db:397312
checkpoint:375, page_time:1266228, size_db:90112
checkpoint:376, page_time:2525170, size_db:176128
checkpoint:377, page_time:1381372, size_db:98304
checkpoint:378, page_time:4305195, size_db:299008
checkpoint:379, page_time:1321829, size_db:94208
checkpoint:380, page_time:3582329, size_db:249856
checkpoint:381, page_time:5759762, size_db:397312
checkpoint:382, page_time:5746353, size_db:397312
checkpoint:383, page_time:1208391, size_db:86016
checkpoint:384, page_time:5261279, size_db:364544
checkpoint:385, page_time:1381282, size_db:98304
checkpoint:386, page_time:4304929, size_db:299008
checkpoint:387, page_time:2407098, size_db:167936
checkpoint:388, page_time:2642658, size_db:184320
checkpoint:389, page_time:2386925, size_db:167936
checkpoint:390, page_time:1439732, size_db:102400
checkpoint:391, page_time:2620519, size_db:184320
checkpoint:392, page_time:3582341, size_db:249856
checkpoint:393, page_time:1323570, size_db:94208
checkpoint:394, page_time:5260418, size_db:364544
checkpoint:395, page_time:2760066, size_db:192512
checkpoint:396, page_time:1381215, size_db:98304
checkpoint:397, page_time:1207781, size_db:86016
checkpoint:398, page_time:1263969, size_db:90112
checkpoint:399, page_time:1381072, size_db:98304
checkpoint:400, page_time:5019776, size_db:348160
checkpoint:401, page_time:2877507, size_db:200704
checkpoint:402, page_time:1438720, size_db:102400
checkpoint:403, page_time:3758911, size_db:262144
checkpoint:404, page_time:1439831, size_db:102400
checkpoint:405, page_time:1266087, size_db:90112
checkpoint:406, page_time:4305217, size_db:299008
checkpoint:407, page_time:2514855, size_db:176128
checkpoint:408, page_time:1266139, size_db:90112
checkpoint:409, page_time:1439833, size_db:102400
checkpoint:410, page_time:4305228, size_db:299008
checkpoint:411, page_time:2877521, size_db:200704
checkpoint:412, page_time:1379434, size_db:98304
checkpoint:413, page_time:1438899, size_db:102400
checkpoint:414, page_time:3938534, size_db:274432
checkpoint:415, page_time:1439809, size_db:102400
checkpoint:416, page_time:2876149, size_db:200704
checkpoint:417, page_time:1266141, size_db:90112
checkpoint:418, page_time:4305237, size_db:299008
checkpoint:419, page_time:1439536, size_db:102400
checkpoint:420, page_time:1323661, size_db:94208
checkpoint:421, page_time:2877376, size_db:200704
checkpoint:422, page_time:3939263, size_db:274432
checkpoint:423, page_time:1265573, size_db:90112
checkpoint:424, page_time:1264079, size_db:90112
checkpoint:425, page_time:2759488, size_db:192512
checkpoint:426, page_time:2876976, size_db:200704
checkpoint:427, page_time:2877519, size_db:200704
checkpoint:428, page_time:2760077, size_db:192512
checkpoint:429, page_time:1323678, size_db:94208
checkpoint:430, page_time:2385376, size_db:167936
checkpoint:431, page_time:2368275, size_db:167936
checkpoint:432, page_time:4305239, size_db:299008
checkpoint:433, page_time:2525170, size_db:176128
checkpoint:434, page_time:2760063, size_db:192512
checkpoint:435, page_time:5020548, size_db:348160
checkpoint:436, page_time:3582318, size_db:249856
checkpoint:437, page_time:4305250, size_db:299008
checkpoint:438, page_time:1439794, size_db:102400
checkpoint:439, page_time:1381249, size_db:98304
checkpoint:440, page_time:2633496, size_db:184320
checkpoint:441, page_time:3758893, size_db:262144
checkpoint:442, page_time:1381054, size_db:98304
checkpoint:443, page_time:2729518, size_db:192512
checkpoint:444, page_time:4305234, size_db:299008
checkpoint:445, page_time:1266149, size_db:90112
checkpoint:446, page_time:1438989, size_db:102400
checkpoint:447, page_time:1322630, size_db:94208
checkpoint:448, page_time:4305202, size_db:299008
checkpoint:449, page_time:4305217, size_db:299008
checkpoint:450, page_time:1206581, size_db:86016
checkpoint:451, page_time:2760037, size_db:192512
checkpoint:452, page_time:4305203, size_db:299008
checkpoint:453, page_time:1323571, size_db:94208
checkpoint:454, page_time:1381266, size_db:98304
checkpoint:455, page_time:2407753, size_db:167936
checkpoint:456, page_time:5261278, size_db:364544
checkpoint:457, page_time:1438671, size_db:102400
checkpoint:458, page_time:3939401, size_db:274432
checkpoint:459, page_time:2524188, size_db:176128
checkpoint:460, page_time:1437350, size_db:102400
checkpoint:461, page_time:2386837, size_db:167936
checkpoint:462, page_time:2525180, size_db:176128
